,0
0,"g.V().has('dtid','large_tank6859650200114').addE('connects').property('name','connects').property('from','1').property('to','3').to(g.V().has('dtid','pipe13874980533071'))"
1,"g.V().has('dtid','pipe13874980533071').addE('connects').property('name','connects').property('from','3').property('to','4').to(g.V().has('dtid','pipe27789020259944'))"
2,"g.V().has('dtid','pipe27789020259944').addE('connects').property('name','connects').property('from','4').property('to','2').to(g.V().has('dtid','small_tank5704231866193'))"
3,"g.V().has('dtid','small_tank5704231866193').addE('connects').property('name','connects').property('from','2').property('to','5').to(g.V().has('dtid','pipe31468429685772'))"
4,"g.V().has('dtid','pipe31468429685772').addE('connects').property('name','connects').property('from','5').property('to','1').to(g.V().has('dtid','large_tank6859650200114'))"
5,"g.V().has('dtid','large_tank6859650200114').addE('has').property('name','has').property('from','1').property('to','6').to(g.V().has('dtid','anchor10029172600119'))"
6,"g.V().has('dtid','pipe13874980533071').addE('has').property('name','has').property('from','3').property('to','7').to(g.V().has('dtid','anchor22176561851305'))"
7,"g.V().has('dtid','pipe27789020259944').addE('has').property('name','has').property('from','4').property('to','8').to(g.V().has('dtid','anchor37223502560714'))"
8,"g.V().has('dtid','small_tank5704231866193').addE('has').property('name','has').property('from','2').property('to','9').to(g.V().has('dtid','anchor42637408115438'))"
9,"g.V().has('dtid','pipe31468429685772').addE('has').property('name','has').property('from','5').property('to','10').to(g.V().has('dtid','anchor57013822618261'))"
10,"g.V().has('dtid','large_tank6859650200114').addE('isin').property('name','isin').property('from','1').property('to','13').to(g.V().has('dtid','facility13679208174844'))"
11,"g.V().has('dtid','pipe13874980533071').addE('isin').property('name','isin').property('from','3').property('to','13').to(g.V().has('dtid','facility13679208174844'))"
12,"g.V().has('dtid','pipe27789020259944').addE('isin').property('name','isin').property('from','4').property('to','13').to(g.V().has('dtid','facility13679208174844'))"
13,"g.V().has('dtid','small_tank5704231866193').addE('isin').property('name','isin').property('from','2').property('to','13').to(g.V().has('dtid','facility13679208174844'))"
14,"g.V().has('dtid','pipe31468429685772').addE('isin').property('name','isin').property('from','5').property('to','13').to(g.V().has('dtid','facility13679208174844'))"
15,"g.V().has('dtid','facility13679208174844').addE('isin').property('name','isin').property('from','13').property('to','14').to(g.V().has('dtid','boundary10482074397538'))"
16,"g.V().has('dtid','anchor10029172600119').addE('isin').property('name','isin').property('from','6').property('to','14').to(g.V().has('dtid','boundary10482074397538'))"
17,"g.V().has('dtid','anchor22176561851305').addE('isin').property('name','isin').property('from','7').property('to','14').to(g.V().has('dtid','boundary10482074397538'))"
18,"g.V().has('dtid','anchor37223502560714').addE('isin').property('name','isin').property('from','8').property('to','14').to(g.V().has('dtid','boundary10482074397538'))"
19,"g.V().has('dtid','anchor42637408115438').addE('isin').property('name','isin').property('from','9').property('to','14').to(g.V().has('dtid','boundary10482074397538'))"
20,"g.V().has('dtid','anchor57013822618261').addE('isin').property('name','isin').property('from','10').property('to','14').to(g.V().has('dtid','boundary10482074397538'))"
